start;stop;ligne;time;distance
BARBESROCHECHOUART;CHATEAUROUGE;4;1.3760347327373914;688.0173663686957
GAREDUNORD;BARBESROCHECHOUART;4;1.8808011975189858;940.4005987594929
GAREDELEST;GAREDUNORD;4;1.3004322660286565;650.2161330143282
CHATEAUDEAU;GAREDELEST;4;1.4052435773051648;702.6217886525824
STRASBOURGSTDENIS;CHATEAUDEAU;4;1.1961446361025936;598.0723180512967
REAUMURSEBASTOPOL;STRASBOURGSTDENIS;4;1.279167487447787;639.5837437238935
ETIENNEMARCEL;REAUMURSEBASTOPOL;4;1.2321485321974688;616.0742660987344
LESHALLES;ETIENNEMARCEL;4;1.075652338919218;537.826169459609
CHATELET;LESHALLES;4;1.7066038049907255;853.3019024953627
CITE;CHATELET;4;0.9757301383457406;487.86506917287034
STMICHEL;CITE;4;1.2108929837129447;605.4464918564723
ODEON;STMICHEL;4;1.0566715091087184;528.3357545543593
STGERMAINDESPRES;ODEON;4;1.4286450599442235;714.3225299721117
STSULPICE;STGERMAINDESPRES;4;1.0864558368866384;543.2279184433191
STPLACIDE;STSULPICE;4;1.7513173029438718;875.6586514719359
MONTPARNASSEBIENVENUE;STPLACIDE;4;1.8353750244685456;917.6875122342728
VAVIN;MONTPARNASSEBIENVENUE;4;1.6350200182036003;817.5100091018002
RASPAIL;VAVIN;4;1.2676859783464276;633.8429891732138
DENFERTROCHEREAU;RASPAIL;4;1.73462142414167;867.3107120708349
MOUTONDUVERNET;DENFERTROCHEREAU;4;1.099711567662666;549.855783831333
ALESIA;MOUTONDUVERNET;4;1.2496662151961275;624.8331075980637
PORTEDORLEANS;ALESIA;4;1.587615410265133;793.8077051325665
MAIRIEDEMONTROUGE;PORTEDORLEANS;4;1.857630156372532;928.815078186266
BOBIGNYPABLOPICASSO;BOBIGNYPANTINRAYMONDQUENEAU;5;4.759131684334473;2379.5658421672365
BOBIGNYPANTINRAYMONDQUENEAU;EGLISEDEPANTIN;5;2.328217023705868;1164.108511852934
EGLISEDEPANTIN;HOCHE;5;2.1695358822472404;1084.7679411236202
HOCHE;PORTEDEPANTIN;5;2.119188287462988;1059.594143731494
PORTEDEPANTIN;OURCQ;5;1.3148377369879607;657.4188684939803
OURCQ;LAUMIERE;5;1.6521316782829725;826.0658391414862
LAUMIERE;JAURES;5;1.8511432194067496;925.5716097033749
JAURES;STALINGRAD;5;0.8626172924658481;431.30864623292405
STALINGRAD;GAREDUNORD;5;2.520023078443524;1260.011539221762
GAREDUNORD;GAREDELEST;5;1.3004322660286565;650.2161330143282
GAREDELEST;JACQUESBONSERGENT;5;1.7906182592458382;895.309129622919
JACQUESBONSERGENT;REPUBLIQUE;5;1.3422214398648673;671.1107199324337
REPUBLIQUE;OBERKAMPF;5;1.4234680714894608;711.7340357447304
OBERKAMPF;RICHARDLENOIR;5;1.6816876319918097;840.8438159959048
RICHARDLENOIR;BREGUETSABIN;5;1.3670323280821657;683.5161640410828
BREGUETSABIN;BASTILLE;5;1.3246121000915403;662.3060500457701
BASTILLE;QUAIDELARAPEE;5;1.9195458124875755;959.7729062437877
QUAIDELARAPEE;GAREDAUSTERLITZ;5;1.4484056236641134;724.2028118320567
GAREDAUSTERLITZ;STMARCEL;5;1.5678557658576069;783.9278829288035
STMARCEL;CAMPOFORMIO;5;1.2239951177726671;611.9975588863335
CAMPOFORMIO;PLACEDITALIE;5;1.6127920709604635;806.3960354802317
BOBIGNYPANTINRAYMONDQUENEAU;BOBIGNYPABLOPICASSO;5;4.759131684334473;2379.5658421672365
EGLISEDEPANTIN;BOBIGNYPANTINRAYMONDQUENEAU;5;2.328217023705868;1164.108511852934
HOCHE;EGLISEDEPANTIN;5;2.1695358822472404;1084.7679411236202
PORTEDEPANTIN;HOCHE;5;2.119188287462988;1059.594143731494
OURCQ;PORTEDEPANTIN;5;1.3148377369879607;657.4188684939803
LAUMIERE;OURCQ;5;1.6521316782829725;826.0658391414862
JAURES;LAUMIERE;5;1.8511432194067496;925.5716097033749
STALINGRAD;JAURES;5;0.8626172924658481;431.30864623292405
GAREDUNORD;STALINGRAD;5;2.520023078443524;1260.011539221762
GAREDELEST;GAREDUNORD;5;1.3004322660286565;650.2161330143282
JACQUESBONSERGENT;GAREDELEST;5;1.7906182592458382;895.309129622919
REPUBLIQUE;JACQUESBONSERGENT;5;1.3422214398648673;671.1107199324337
OBERKAMPF;REPUBLIQUE;5;1.4234680714894608;711.7340357447304
RICHARDLENOIR;OBERKAMPF;5;1.6816876319918097;840.8438159959048
BREGUETSABIN;RICHARDLENOIR;5;1.3670323280821657;683.5161640410828
BASTILLE;BREGUETSABIN;5;1.3246121000915403;662.3060500457701
QUAIDELARAPEE;BASTILLE;5;1.9195458124875755;959.7729062437877
GAREDAUSTERLITZ;QUAIDELARAPEE;5;1.4484056236641134;724.2028118320567
